market_id,market_slug,question,condition_id,yes_token_id,no_token_id,city_raw,city,market_date_raw,market_date_local,market_type,threshold,range_low,range_high,temp_unit,precision,metric_type,parse_status,parse_note
1871730,highest-temperature-in-atlanta-on-april-9-2026-70-71f,Will the highest temperature in Atlanta be between 70-71°F on April 9?,0x31f66348e3ab85c7ba211f840c96b6ae30fd65fe3674aa0edbbdbac4ffebb29b,105018813858036476710142880917456751210278273197477449563282106516838057914247,66972844156683813295400884242056304303946266643684390790709344651504180310781,Atlanta,Atlanta,April 9,2026-04-09,range,,70.0,71.0,F,1F,daily_high,ok,
1871731,highest-temperature-in-atlanta-on-april-9-2026-72-73f,Will the highest temperature in Atlanta be between 72-73°F on April 9?,0x9077c0b659adafe9ab6c2fb3f70f766953a1f860af23a57de7a96c82b9a7be81,2601701341461706606971592263594084900285148589728469603678872069127418586984,29486726748560693901481592630272747169518730752549979496885347571111014090205,Atlanta,Atlanta,April 9,2026-04-09,range,,72.0,73.0,F,1F,daily_high,ok,
1871732,highest-temperature-in-atlanta-on-april-9-2026-74-75f,Will the highest temperature in Atlanta be between 74-75°F on April 9?,0x9f8433b56a79aa6008d4d43f86cafa8198238ddec6d1c429526d8173a69715ed,22431034232780550817925136428711714301720888686334641250894049782710910981870,24362975541204064190824146328697678393889764238444635399527726056164183953037,Atlanta,Atlanta,April 9,2026-04-09,range,,74.0,75.0,F,1F,daily_high,ok,
1871733,highest-temperature-in-atlanta-on-april-9-2026-76-77f,Will the highest temperature in Atlanta be between 76-77°F on April 9?,0x7225897b96dab6414e66d4d8547f681b419f4d2ba75c1195fec67071ef5fe5d0,37788885446407718576021074971424031269412127903690880060268326735929739571601,47017872819009813228215871315163882752307289692095130046950464102537446451241,Atlanta,Atlanta,April 9,2026-04-09,range,,76.0,77.0,F,1F,daily_high,ok,
1871734,highest-temperature-in-atlanta-on-april-9-2026-78-79f,Will the highest temperature in Atlanta be between 78-79°F on April 9?,0x6eaf3a9934b88bf144b12fd3b64b76e3cd58a7d9d2f052dd075bc593cfc736f8,79956898271268478077464672840138338061675782508249824358948571754453670761365,47108953573410177624026331257677894717126844585495651455636341299506902064842,Atlanta,Atlanta,April 9,2026-04-09,range,,78.0,79.0,F,1F,daily_high,ok,
1871735,highest-temperature-in-atlanta-on-april-9-2026-80forhigher,Will the highest temperature in Atlanta be 80°F or higher on April 9?,0xc162c1e7441aaee13ad7a23eb01f4c286bc196c0bfec5c0319adc79e0bb70694,74617931649523919290480499508781969404660686385124999557431779131762482276676,88496764789727984609244824731118652823338738691427295968301709558453034241009,Atlanta,Atlanta,April 9,2026-04-09,higher,80.0,,,F,1F,daily_high,ok,
1872029,highest-temperature-in-san-francisco-on-april-9-2026-70-71f,Will the highest temperature in San Francisco be between 70-71°F on April 9?,0xd56b58f66d20e02fe5bd4d03ae20027e414b57d55e74431959ecb2bf5b71d087,1104718860440292958919925422393388295029244547137328162174257523216787464972,42963956506988993829206275697476192401304084188966221960818452081176139342086,San Francisco,San Francisco,April 9,2026-04-09,range,,70.0,71.0,F,1F,daily_high,ok,
1872030,highest-temperature-in-san-francisco-on-april-9-2026-72-73f,Will the highest temperature in San Francisco be between 72-73°F on April 9?,0x3af73ed53ffdf5dc260e52d096c19e6e0bde92919a271daf5fefd69671c77aed,88550073084132403456200156344864407611213426440093723666971641535910838585342,8344389153855434234476816050545741641747242187011002993950524076315783671404,San Francisco,San Francisco,April 9,2026-04-09,range,,72.0,73.0,F,1F,daily_high,ok,
1872031,highest-temperature-in-san-francisco-on-april-9-2026-74forhigher,Will the highest temperature in San Francisco be 74°F or higher on April 9?,0xe1218979a3bd8b92ce929795b6dbe204359ec381d9059ec7c1442c20c76ea324,38700716262931171822856299352285303454179068601260948920132839562057511463747,16635576732140339142698668959337268273295345357213174149809580670503260182988,San Francisco,San Francisco,April 9,2026-04-09,higher,74.0,,,F,1F,daily_high,ok,
1886249,highest-temperature-in-london-on-april-10-2026-16corbelow,Will the highest temperature in London be 16°C or below on April 10?,0x2ced5faaa1625ec6681806c36f6c59373c8c3d601b1bbfab8938b5bd4085f7ae,71328861960633218128775842707342038180839586433989396667827471063146760608256,40756756736401099940105525210827249970250701349972364298791188711818580921097,London,London,April 10,2026-04-10,below,16.0,,,C,1C,daily_high,ok,
